,id,code,name,population,prevalence,incidence_7,prevalence_100k,incidence_7_100k,country
0,SK-0321,SK0321,Banská Bystrica,110716,,120,,108.38541854835796,Slovakia
1,SK-0322,SK0322,Banská Štiavnica,16069,,15,,93.34743916858548,Slovakia
8,SK-0323,SK0323,Brezno,61269,,17,,27.74649496482724,Slovakia
11,SK-0324,SK0324,Detva,31967,,14,,43.79516376263021,Slovakia
26,SK-0325,SK0325,Krupina,22139,,38,,171.64280229459325,Slovakia
31,SK-0326,SK0326,Lučenec,73342,,30,,40.904256769654495,Slovakia
44,SK-0327,SK0327,Poltár,21397,,8,,37.38841893723419,Slovakia
50,SK-0328,SK0328,Revúca,39537,,3,,7.58782912208817,Slovakia
51,SK-0329,SK0329,Rimavská Sobota,84048,,24,,28.555111364934323,Slovakia
70,SK-032A,SK032A,Veľký Krtíš,43263,,28,,64.72043085315397,Slovakia
73,SK-032B,SK032B,Zvolen,68685,,52,,75.70794205430589,Slovakia
76,SK-032C,SK032C,Žarnovica,26112,,11,,42.12622549019608,Slovakia
77,SK-032D,SK032D,Žiar nad Hronom,46732,,49,,104.8532055122828,Slovakia
2,SK-0411,SK0411,Bardejov,77765,,42,,54.00887288625989,Slovakia
17,SK-0412,SK0412,Humenné,61773,,25,,40.470755831835916,Slovakia
19,SK-0413,SK0413,Kežmarok,75533,,11,,14.56317106430302,Slovakia
29,SK-0414,SK0414,Levoča,33708,,22,,65.26640560104427,Slovakia
34,SK-0415,SK0415,Medzilaborce,11787,,4,,33.935691863917874,Slovakia
45,SK-0416,SK0416,Poprad,104990,,77,,73.34031812553576,Slovakia
47,SK-0417,SK0417,Prešov,176181,,146,,82.86932189055574,Slovakia
54,SK-0418,SK0418,Sabinov,60659,,16,,26.37695972567962,Slovakia
58,SK-0419,SK0419,Snina,36123,,17,,47.06142900645018,Slovakia
61,SK-041A,SK041A,Stará Ľubovňa,53958,,5,,9.26646651099003,Slovakia
62,SK-041B,SK041B,Stropkov,20442,,5,,24.45944623813717,Slovakia
63,SK-041C,SK041C,Svidník,32484,,13,,40.01970200714197,Slovakia
71,SK-041D,SK041D,Vranov nad Topľou,80841,,9,,11.132964708501873,Slovakia
15,SK-0421,SK0421,Gelnica,31894,,13,,40.760017558161415,Slovakia
22,SK-0422,SK0422,Košice I,67484,,21,,31.11848734514848,Slovakia
23,SK-0423,SK0423,Košice II,82278,,27,,32.81557646029315,Slovakia
24,SK-0424,SK0424,Košice III,28687,,4,,13.943598145501447,Slovakia
25,SK-0425,SK0425,Košice IV,60144,,16,,26.602819898909285,Slovakia
21,SK-0426,SK0426,Košice - okolie,130132,,58,,44.5701287923032,Slovakia
35,SK-0427,SK0427,Michalovce,110748,,101,,91.19803517896486,Slovakia
52,SK-0428,SK0428,Rožňava,62131,,17,,27.36154254719866,Slovakia
59,SK-0429,SK0429,Sobrance,22789,,4,,17.552327877484753,Slovakia
60,SK-042A,SK042A,Spišská Nová Ves,99878,,18,,18.02198682392519,Slovakia
65,SK-042B,SK042B,Trebišov,105295,,95,,90.22270763094164,Slovakia
